Year,District,nonviolent,violent
2012,Charlottenburg-Wilmersdorf,40968,6891
2012,Friedrichshain-Kreuzberg,43400,7254
2012,Lichtenberg,23308,4012
2012,Marzahn-Hellersdorf,21180,4683
2012,Mitte,65623,12665
2012,Neukölln,38776,7329
2012,Pankow,36072,4523
2012,Reinickendorf,25328,4843
2012,Spandau,23266,4699
2012,Steglitz-Zehlendorf,21889,2988
2012,Tempelhof-Schöneberg,32467,5321
2012,Treptow-Köpenick,19557,3077
2013,Charlottenburg-Wilmersdorf,42669,6618
2013,Friedrichshain-Kreuzberg,46209,7487
2013,Lichtenberg,22824,3777
2013,Marzahn-Hellersdorf,20546,4808
2013,Mitte,67611,11835
2013,Neukölln,38066,6870
2013,Pankow,35855,4587
2013,Reinickendorf,24727,4627
2013,Spandau,23620,4601
2013,Steglitz-Zehlendorf,23295,3035
2013,Tempelhof-Schöneberg,33432,5473
2013,Treptow-Köpenick,19905,3295
2014,Charlottenburg-Wilmersdorf,43388,6298
2014,Friedrichshain-Kreuzberg,50867,7606
2014,Lichtenberg,22064,3702
2014,Marzahn-Hellersdorf,19589,4496
2014,Mitte,68930,10724
2014,Neukölln,36510,6518
2014,Pankow,36658,4243
2014,Reinickendorf,25028,4510
2014,Spandau,21815,4401
2014,Steglitz-Zehlendorf,21849,2719
2014,Tempelhof-Schöneberg,33278,5150
2014,Treptow-Köpenick,20534,2979
2015,Charlottenburg-Wilmersdorf,46832,6104
2015,Friedrichshain-Kreuzberg,57490,7407
2015,Lichtenberg,22382,3539
2015,Marzahn-Hellersdorf,19360,4294
2015,Mitte,72677,11218
2015,Neukölln,39196,6255
2015,Pankow,44152,4319
2015,Reinickendorf,25365,4746
2015,Spandau,22089,4337
2015,Steglitz-Zehlendorf,21600,2685
2015,Tempelhof-Schöneberg,33973,5072
2015,Treptow-Köpenick,20293,3094
2016,Charlottenburg-Wilmersdorf,44437,6285
2016,Friedrichshain-Kreuzberg,54307,7210
2016,Lichtenberg,24568,4115
2016,Marzahn-Hellersdorf,21040,4505
2016,Mitte,76890,11500
2016,Neukölln,39823,6743
2016,Pankow,40128,4596
2016,Reinickendorf,25733,4792
2016,Spandau,22012,4698
2016,Steglitz-Zehlendorf,22292,2902
2016,Tempelhof-Schöneberg,34595,5217
2016,Treptow-Köpenick,21167,3389
2017,Charlottenburg-Wilmersdorf,42027,6272
2017,Friedrichshain-Kreuzberg,46851,7332
2017,Lichtenberg,22763,4066
2017,Marzahn-Hellersdorf,20743,4625
2017,Mitte,70282,12192
2017,Neukölln,37252,6562
2017,Pankow,35034,4994
2017,Reinickendorf,21836,4818
2017,Spandau,20965,4738
2017,Steglitz-Zehlendorf,19704,2876
2017,Tempelhof-Schöneberg,32236,5139
2017,Treptow-Köpenick,21169,3601
2018,Charlottenburg-Wilmersdorf,42474,6527
2018,Friedrichshain-Kreuzberg,46121,7531
2018,Lichtenberg,22597,4561
2018,Marzahn-Hellersdorf,18730,4675
2018,Mitte,64958,11447
2018,Neukölln,36772,6672
2018,Pankow,31368,4977
2018,Reinickendorf,20738,4754
2018,Spandau,20907,4919
2018,Steglitz-Zehlendorf,20042,3113
2018,Tempelhof-Schöneberg,36719,5331
2018,Treptow-Köpenick,20933,3828
2019,Charlottenburg-Wilmersdorf,39772,6706
2019,Friedrichshain-Kreuzberg,51797,8097
2019,Lichtenberg,23183,4757
2019,Marzahn-Hellersdorf,18804,4550
2019,Mitte,64949,11807
2019,Neukölln,37620,6882
2019,Pankow,32178,5053
2019,Reinickendorf,19714,4410
2019,Spandau,19311,4517
2019,Steglitz-Zehlendorf,20648,3180
2019,Tempelhof-Schöneberg,33006,5581
2019,Treptow-Köpenick,21514,3983
